TOWNID,oldpeopletotal
"('10702', '65000260')",0
"('10702', '65000270')",0
"('10702', '65000280')",0
"('10702', '65000290')",0
"('10702', '63000010')",0
"('10702', '63000020')",0
"('10702', '63000030')",0
"('10702', '63000040')",0
"('10702', '63000050')",0
"('10702', '63000060')",0
"('10702', '63000070')",0
"('10702', '63000080')",0
"('10702', '63000090')",0
"('10702', '63000100')",0
"('10702', '63000110')",0
"('10702', '63000120')",0
"('10702', '68000010')",0
"('10702', '68000020')",0
"('10702', '68000030')",0
"('10702', '68000040')",0
"('10702', '68000050')",0
"('10702', '68000060')",0
"('10702', '68000070')",0
"('10702', '68000080')",0
"('10702', '68000090')",0
"('10702', '68000100')",0
"('10702', '68000110')",0
"('10702', '68000120')",0
"('10702', '68000130')",0
"('10702', '66000010')",0
"('10702', '66000020')",0
"('10702', '66000030')",0
"('10702', '66000040')",0
"('10702', '66000050')",0
"('10702', '66000060')",0
"('10702', '66000070')",0
"('10702', '66000080')",0
"('10702', '66000090')",0
"('10702', '66000100')",0
"('10702', '66000110')",0
"('10702', '66000120')",0
"('10702', '66000130')",0
"('10702', '66000140')",0
"('10702', '66000150')",0
"('10702', '66000160')",0
"('10702', '66000170')",0
"('10702', '66000180')",0
"('10702', '66000190')",0
"('10702', '66000200')",0
"('10702', '66000210')",0
"('10702', '66000220')",0
"('10702', '66000230')",0
"('10702', '66000240')",0
"('10702', '66000250')",0
"('10702', '66000260')",0
"('10702', '66000270')",0
"('10702', '66000280')",0
"('10702', '66000290')",0
"('10702', '67000010')",0
"('10702', '67000020')",0
"('10702', '67000030')",0
"('10702', '67000040')",0
"('10702', '67000050')",0
"('10702', '67000060')",0
"('10702', '67000070')",0
"('10702', '67000080')",0
"('10702', '67000090')",0
"('10702', '67000100')",0
"('10702', '67000110')",0
"('10702', '67000120')",0
"('10702', '67000130')",0
"('10702', '67000140')",0
"('10702', '67000150')",0
"('10702', '67000160')",0
"('10702', '67000170')",0
"('10702', '67000180')",0
"('10702', '67000190')",0
"('10702', '67000200')",0
"('10702', '67000210')",0
"('10702', '67000220')",0
"('10702', '67000230')",0
"('10702', '67000240')",0
"('10702', '67000250')",0
"('10702', '67000260')",0
"('10702', '67000270')",0
"('10702', '67000280')",0
"('10702', '67000290')",0
"('10702', '67000300')",0
"('10702', '67000310')",0
"('10702', '67000320')",0
"('10702', '67000330')",0
"('10702', '67000340')",0
"('10702', '67000350')",0
"('10702', '67000360')",0
"('10702', '67000370')",0
"('10702', '64000010')",0
"('10702', '64000020')",0
"('10702', '64000030')",0
"('10702', '64000040')",0
"('10702', '64000051')",0
"('10702', '64000052')",0
"('10702', '64000060')",0
"('10702', '64000070')",0
"('10702', '64000080')",0
"('10702', '64000090')",0
"('10702', '64000100')",0
"('10702', '64000110')",0
"('10702', '64000121')",0
"('10702', '64000122')",0
"('10702', '64000130')",0
"('10702', '64000140')",0
"('10702', '64000150')",0
"('10702', '64000160')",0
"('10702', '64000170')",0
"('10702', '64000180')",0
"('10702', '64000190')",0
"('10702', '64000200')",0
"('10702', '64000210')",0
"('10702', '64000220')",0
"('10702', '64000230')",0
"('10702', '64000240')",0
"('10702', '64000250')",0
"('10702', '64000260')",0
"('10702', '64000270')",0
"('10702', '64000280')",0
"('10702', '64000290')",0
"('10702', '64000300')",0
"('10702', '64000310')",0
"('10702', '64000320')",0
"('10702', '64000330')",0
"('10702', '64000340')",0
"('10702', '64000350')",0
"('10702', '64000360')",0
"('10702', '64000370')",0
"('10702', '64000380')",0
"('10702', '10002010')",0
"('10702', '10002020')",0
"('10702', '10002030')",0
"('10702', '10002040')",0
"('10702', '10002050')",0
"('10702', '10002060')",0
"('10702', '10002070')",0
"('10702', '10002080')",0
"('10702', '10002090')",0
"('10702', '10002100')",0
"('10702', '10002110')",0
"('10702', '10002120')",0
"('10702', '10004010')",0
"('10702', '10004040')",0
"('10702', '10004030')",0
"('10702', '10004020')",0
"('10702', '10004050')",0
"('10702', '10004080')",0
"('10702', '10004060')",0
"('10702', '10004070')",0
"('10702', '10004100')",0
"('10702', '10004090')",0
"('10702', '10004110')",0
"('10702', '10004120')",0
"('10702', '10004130')",0
"('10702', '10005010')",0
"('10702', '10005050')",0
"('10702', '10005020')",0
"('10702', '10005030')",0
"('10702', '10005040')",0
"('10702', '10005060')",0
"('10702', '10005070')",0
"('10702', '10005080')",0
"('10702', '10005090')",0
"('10702', '10005100')",0
"('10702', '10005110')",0
"('10702', '10005120')",0
"('10702', '10005130')",0
"('10702', '10005140')",0
"('10702', '10005150')",0
"('10702', '10005160')",0
"('10702', '10005170')",0
"('10702', '10005180')",0
"('10702', '10007010')",0
"('10702', '10007100')",0
"('10702', '10007020')",0
"('10702', '10007030')",0
"('10702', '10007190')",0
"('10702', '10007110')",0
"('10702', '10007120')",0
"('10702', '10007200')",0
"('10702', '10007040')",0
"('10702', '10007050')",0
"('10702', '10007060')",0
"('10702', '10007070')",0
"('10702', '10007080')",0
"('10702', '10007090')",0
"('10702', '10007130')",0
"('10702', '10007140')",0
"('10702', '10007150')",0
"('10702', '10007160')",0
"('10702', '10007170')",0
"('10702', '10007180')",0
"('10702', '10007210')",0
"('10702', '10007220')",0
"('10702', '10007230')",0
"('10702', '10007240')",0
"('10702', '10007250')",0
"('10702', '10007260')",0
"('10702', '10008010')",0
"('10702', '10008020')",0
"('10702', '10008030')",0
"('10702', '10008040')",0
"('10702', '10008050')",0
"('10702', '10008060')",0
"('10702', '10008070')",0
"('10702', '10008080')",0
"('10702', '10008090')",0
"('10702', '10008100')",0
"('10702', '10008110')",0
"('10702', '10008120')",0
"('10702', '10008130')",0
"('10702', '10009010')",0
"('10702', '10009020')",0
"('10702', '10009030')",0
"('10702', '10009040')",0
"('10702', '10009050')",0
"('10702', '10009060')",0
"('10702', '10009070')",0
"('10702', '10009080')",0
"('10702', '10009090')",0
"('10702', '10009100')",0
"('10702', '10009110')",0
"('10702', '10009120')",0
"('10702', '10009130')",0
"('10702', '10009140')",0
"('10702', '10009150')",0
"('10702', '10009160')",0
"('10702', '10009170')",0
"('10702', '10009180')",0
"('10702', '10009190')",0
"('10702', '10009200')",0
"('10702', '10010010')",0
"('10702', '10010020')",0
"('10702', '10010030')",0
"('10702', '10010040')",0
"('10702', '10010050')",0
"('10702', '10010060')",0
"('10702', '10010070')",0
"('10702', '10010080')",0
"('10702', '10010090')",0
"('10702', '10010100')",0
"('10702', '10010110')",0
"('10702', '10010120')",0
"('10702', '10010130')",0
"('10702', '10010140')",0
"('10702', '10010150')",0
"('10702', '10010160')",0
"('10702', '10010170')",0
"('10702', '10010180')",0
"('10702', '10013010')",0
"('10702', '10013020')",0
"('10702', '10013030')",0
"('10702', '10013040')",0
"('10702', '10013050')",0
"('10702', '10013060')",0
"('10702', '10013070')",0
"('10702', '10013080')",0
"('10702', '10013090')",0
"('10702', '10013100')",0
"('10702', '10013110')",0
"('10702', '10013120')",0
"('10702', '10013130')",0
"('10702', '10013140')",0
"('10702', '10013150')",0
"('10702', '10013160')",0
"('10702', '10013170')",0
"('10702', '10013180')",0
"('10702', '10013190')",0
"('10702', '10013200')",0
"('10702', '10013210')",0
"('10702', '10013220')",0
"('10702', '10013230')",0
"('10702', '10013240')",0
"('10702', '10013250')",0
"('10702', '10013260')",0
"('10702', '10013270')",0
"('10702', '10013280')",0
"('10702', '10013290')",0
"('10702', '10013300')",0
"('10702', '10013310')",0
"('10702', '10013320')",0
"('10702', '10013330')",0
"('10702', '10014010')",0
"('10702', '10014020')",0
"('10702', '10014030')",0
"('10702', '10014040')",0
"('10702', '10014100')",0
"('10702', '10014090')",0
"('10702', '10014070')",0
"('10702', '10014080')",0
"('10702', '10014050')",0
"('10702', '10014060')",0
"('10702', '10014110')",0
"('10702', '10014130')",0
"('10702', '10014120')",0
"('10702', '10014150')",0
"('10702', '10014140')",0
"('10702', '10014160')",0
"('10702', '10015010')",0
"('10702', '10015020')",0
"('10702', '10015030')",0
"('10702', '10015040')",0
"('10702', '10015050')",0
"('10702', '10015060')",0
"('10702', '10015070')",0
"('10702', '10015080')",0
"('10702', '10015090')",0
"('10702', '10015100')",0
"('10702', '10015110')",0
"('10702', '10015120')",0
"('10702', '10015130')",0
"('10702', '10016010')",0
"('10702', '10016020')",0
"('10702', '10016030')",0
"('10702', '10016040')",0
"('10702', '10016050')",0
"('10702', '10016060')",0
"('10702', '10017010')",0
"('10702', '10017020')",0
"('10702', '10017030')",0
"('10702', '10017040')",0
"('10702', '10017050')",0
"('10702', '10017060')",0
"('10702', '10017070')",0
"('10702', '10018010')",0
"('10702', '10018020')",0
"('10702', '10018030')",0
"('10702', '10020010')",0
"('10702', '10020020')",0
"('10702', '09020010')",0
"('10702', '09020030')",0
"('10702', '09020020')",0
"('10702', '09020040')",0
"('10702', '09020050')",0
"('10702', '09020060')",0
"('10702', '09007010')",0
"('10702', '09007020')",0
"('10702', '09007030')",0
"('10702', '09007040')",0
"('10703', '65000010')",0
"('10703', '65000020')",0
"('10703', '65000030')",0
"('10703', '65000040')",0
"('10703', '65000050')",0
"('10703', '65000060')",0
"('10703', '65000070')",0
"('10703', '65000080')",0
"('10703', '65000090')",0
"('10703', '65000100')",0
"('10703', '65000110')",0
"('10703', '65000120')",0
"('10703', '65000130')",0
"('10703', '65000140')",0
"('10703', '65000150')",0
"('10703', '65000160')",0
"('10703', '65000170')",0
"('10703', '65000180')",0
"('10703', '65000190')",0
"('10703', '65000200')",0
"('10703', '65000210')",0
"('10703', '65000220')",0
"('10703', '65000230')",0
"('10703', '65000240')",0
"('10703', '65000250')",0
"('10703', '65000260')",0
"('10703', '65000270')",0
"('10703', '65000280')",0
"('10703', '65000290')",0
"('10703', '63000010')",0
"('10703', '63000020')",0
"('10703', '63000030')",0
"('10703', '63000040')",0
"('10703', '63000050')",0
"('10703', '63000060')",0
"('10703', '63000070')",0
"('10703', '63000080')",0
"('10703', '63000090')",0
"('10703', '63000100')",0
"('10703', '63000110')",0
"('10703', '63000120')",0
"('10703', '68000010')",0
"('10703', '68000020')",0
"('10703', '68000030')",0
"('10703', '68000040')",0
"('10703', '68000050')",0
"('10703', '68000060')",0
"('10703', '68000070')",0
"('10703', '68000080')",0
"('10703', '68000090')",0
"('10703', '68000100')",0
"('10703', '68000110')",0
"('10703', '68000120')",0
"('10703', '68000130')",0
"('10703', '66000010')",0
"('10703', '66000020')",0
"('10703', '66000030')",0
"('10703', '66000040')",0
"('10703', '66000050')",0
"('10703', '66000060')",0
"('10703', '66000070')",0
"('10703', '66000080')",0
"('10703', '66000090')",0
"('10703', '66000100')",0
"('10703', '66000110')",0
"('10703', '66000120')",0
"('10703', '66000130')",0
"('10703', '66000140')",0
"('10703', '66000150')",0
"('10703', '66000160')",0
"('10703', '66000170')",0
"('10703', '66000180')",0
"('10703', '66000190')",0
"('10703', '66000200')",0
"('10703', '66000210')",0
"('10703', '66000220')",0
"('10703', '66000230')",0
"('10703', '66000240')",0
"('10703', '66000250')",0
"('10703', '66000260')",0
"('10703', '66000270')",0
"('10703', '66000280')",0
"('10703', '66000290')",0
"('10703', '67000010')",0
"('10703', '67000020')",0
"('10703', '67000030')",0
"('10703', '67000040')",0
"('10703', '67000050')",0
"('10703', '67000060')",0
"('10703', '67000070')",0
"('10703', '67000080')",0
"('10703', '67000090')",0
"('10703', '67000100')",0
"('10703', '67000110')",0
"('10703', '67000120')",0
"('10703', '67000130')",0
"('10703', '67000140')",0
"('10703', '67000150')",0
"('10703', '67000160')",0
"('10703', '67000170')",0
"('10703', '67000180')",0
"('10703', '67000190')",0
"('10703', '67000200')",0
"('10703', '67000210')",0
"('10703', '67000220')",0
"('10703', '67000230')",0
"('10703', '67000240')",0
"('10703', '67000250')",0
"('10703', '67000260')",0
"('10703', '67000270')",0
"('10703', '67000280')",0
"('10703', '67000290')",0
"('10703', '67000300')",0
"('10703', '67000310')",0
"('10703', '67000320')",0
"('10703', '67000330')",0
"('10703', '67000340')",0
"('10703', '67000350')",0
"('10703', '67000360')",0
"('10703', '67000370')",0
"('10703', '64000010')",0
"('10703', '64000020')",0
"('10703', '64000030')",0
"('10703', '64000040')",0
"('10703', '64000051')",0
"('10703', '64000052')",0
"('10703', '64000060')",0
"('10703', '64000070')",0
"('10703', '64000080')",0
"('10703', '64000090')",0
"('10703', '64000100')",0
"('10703', '64000110')",0
"('10703', '64000121')",0
"('10703', '64000122')",0
"('10703', '64000130')",0
"('10703', '64000140')",0
"('10703', '64000150')",0
"('10703', '64000160')",0
"('10703', '64000170')",0
"('10703', '64000180')",0
"('10703', '64000190')",0
"('10703', '64000200')",0
"('10703', '64000210')",0
"('10703', '64000220')",0
"('10703', '64000230')",0
"('10703', '64000240')",0
"('10703', '64000250')",0
"('10703', '64000260')",0
"('10703', '64000270')",0
"('10703', '64000280')",0
"('10703', '64000290')",0
"('10703', '64000300')",0
"('10703', '64000310')",0
"('10703', '64000320')",0
"('10703', '64000330')",0
"('10703', '64000340')",0
"('10703', '64000350')",0
"('10703', '64000360')",0
"('10703', '64000370')",0
"('10703', '64000380')",0
"('10703', '10002010')",0
"('10703', '10002020')",0
"('10703', '10002030')",0
"('10703', '10002040')",0
"('10703', '10002050')",0
"('10703', '10002060')",0
"('10703', '10002070')",0
"('10703', '10002080')",0
"('10703', '10002090')",0
"('10703', '10002100')",0
"('10703', '10002110')",0
"('10703', '10002120')",0
"('10703', '10004010')",0
"('10703', '10004040')",0
"('10703', '10004030')",0
"('10703', '10004020')",0
"('10703', '10004050')",0
"('10703', '10004080')",0
"('10703', '10004060')",0
"('10703', '10004070')",0
"('10703', '10004100')",0
"('10703', '10004090')",0
"('10703', '10004110')",0
"('10703', '10004120')",0
"('10703', '10004130')",0
"('10703', '10005010')",0
"('10703', '10005050')",0
"('10703', '10005020')",0
"('10703', '10005030')",0
"('10703', '10005040')",0
"('10703', '10005060')",0
"('10703', '10005070')",0
"('10703', '10005080')",0
"('10703', '10005090')",0
"('10703', '10005100')",0
"('10703', '10005110')",0
"('10703', '10005120')",0
"('10703', '10005130')",0
"('10703', '10005140')",0
"('10703', '10005150')",0
"('10703', '10005160')",0
"('10703', '10005170')",0
"('10703', '10005180')",0
"('10703', '10007010')",0
"('10703', '10007100')",0
"('10703', '10007020')",0
"('10703', '10007030')",0
"('10703', '10007190')",0
"('10703', '10007110')",0
"('10703', '10007120')",0
"('10703', '10007200')",0
"('10703', '10007040')",0
"('10703', '10007050')",0
"('10703', '10007060')",0
"('10703', '10007070')",0
"('10703', '10007080')",0
"('10703', '10007090')",0
"('10703', '10007130')",0
"('10703', '10007140')",0
"('10703', '10007150')",0
"('10703', '10007160')",0
"('10703', '10007170')",0
"('10703', '10007180')",0
"('10703', '10007210')",0
"('10703', '10007220')",0
"('10703', '10007230')",0
"('10703', '10007240')",0
"('10703', '10007250')",0
"('10703', '10007260')",0
"('10703', '10008010')",0
"('10703', '10008020')",0
"('10703', '10008030')",0
"('10703', '10008040')",0
"('10703', '10008050')",0
"('10703', '10008060')",0
"('10703', '10008070')",0
"('10703', '10008080')",0
"('10703', '10008090')",0
"('10703', '10008100')",0
"('10703', '10008110')",0
"('10703', '10008120')",0
"('10703', '10008130')",0
"('10703', '10009010')",0
"('10703', '10009020')",0
"('10703', '10009030')",0
"('10703', '10009040')",0
"('10703', '10009050')",0
"('10703', '10009060')",0
"('10703', '10009070')",0
"('10703', '10009080')",0
"('10703', '10009090')",0
"('10703', '10009100')",0
"('10703', '10009110')",0
"('10703', '10009120')",0
"('10703', '10009130')",0
"('10703', '10009140')",0
"('10703', '10009150')",0
"('10703', '10009160')",0
"('10703', '10009170')",0
"('10703', '10009180')",0
"('10703', '10009190')",0
"('10703', '10009200')",0
"('10703', '10010010')",0
"('10703', '10010020')",0
"('10703', '10010030')",0
"('10703', '10010040')",0
"('10703', '10010050')",0
"('10703', '10010060')",0
"('10703', '10010070')",0
"('10703', '10010080')",0
"('10703', '10010090')",0
"('10703', '10010100')",0
"('10703', '10010110')",0
"('10703', '10010120')",0
"('10703', '10010130')",0
"('10703', '10010140')",0
"('10703', '10010150')",0
"('10703', '10010160')",0
"('10703', '10010170')",0
"('10703', '10010180')",0
"('10703', '10013010')",0
"('10703', '10013020')",0
"('10703', '10013030')",0
"('10703', '10013040')",0
"('10703', '10013050')",0
"('10703', '10013060')",0
"('10703', '10013070')",0
"('10703', '10013080')",0
"('10703', '10013090')",0
"('10703', '10013100')",0
"('10703', '10013110')",0
"('10703', '10013120')",0
"('10703', '10013130')",0
"('10703', '10013140')",0
"('10703', '10013150')",0
"('10703', '10013160')",0
"('10703', '10013170')",0
"('10703', '10013180')",0
"('10703', '10013190')",0
"('10703', '10013200')",0
"('10703', '10013210')",0
"('10703', '10013220')",0
"('10703', '10013230')",0
"('10703', '10013240')",0
"('10703', '10013250')",0
"('10703', '10013260')",0
"('10703', '10013270')",0
"('10703', '10013280')",0
"('10703', '10013290')",0
"('10703', '10013300')",0
"('10703', '10013310')",0
"('10703', '10013320')",0
"('10703', '10013330')",0
"('10703', '10014010')",0
"('10703', '10014020')",0
"('10703', '10014030')",0
"('10703', '10014040')",0
"('10703', '10014100')",0
"('10703', '10014090')",0
"('10703', '10014070')",0
"('10703', '10014080')",0
"('10703', '10014050')",0
"('10703', '10014060')",0
"('10703', '10014110')",0
"('10703', '10014130')",0
"('10703', '10014120')",0
"('10703', '10014150')",0
"('10703', '10014140')",0
"('10703', '10014160')",0
"('10703', '10015010')",0
"('10703', '10015020')",0
"('10703', '10015030')",0
"('10703', '10015040')",0
